9.921875000000003553e+00 1.804687500000000000e+01
1.023437500000000355e+01 1.906250000000000000e+01
1.109375000000000355e+01 1.976562500000000000e+01
1.250000000000000355e+01 2.007812500000000000e+01
1.351562500000000355e+01 1.984375000000000000e+01
1.414062500000000355e+01 1.828125000000000000e+01
1.414062500000000355e+01 1.664062500000000000e+01
1.367187500000000355e+01 1.578125000000000178e+01
1.171875000000000355e+01 1.570312500000000178e+01
1.039062500000000355e+01 1.585937500000000178e+01
9.843750000000003553e+00 1.625000000000000355e+01
9.921875000000003553e+00 1.804687500000000000e+01
